"date","week","ccLabel","day_count","lTemp","sdPos","tank","trt","water","ind","log.sdPos","log.lTemp","day_number","log.day_number"
"10/24/2019","week1","tank4_heating_yes_Red","D1",15.87438614,2.54950975679639,"tank4","heating","yes","Red",0.935901088450796,2.76470687568466,1,0
"10/24/2019","week1","tank2_control_yes_Red","D1",16.5251405966667,1.30384048104053,"tank2","control","yes","Red",0.265314125531085,2.80488289382057,1,0
"10/24/2019","week1","tank2_control_no_Red","D1",16.8149985566667,1.6431676725155,"tank2","control","no","Red",0.496625886505142,2.82227125935617,1,0
"10/24/2019","week1","tank1_control_yes_Red","D1",16.99533835,1.48323969741913,"tank1","control","yes","Red",0.394228680182135,2.83293909174661,1,0
"10/24/2019","week1","tank1_control_no_Red","D1",16.3690810266667,1.09544511501033,"tank1","control","no","Red",0.0911607783969774,2.79539425215709,1,0
"10/25/2019","week1","tank4_heating_no_Red","D2",16.0412237,1.51657508881031,"tank4","heating","no","Red",0.416454561467552,2.77516189005209,2,0.693147180559945
"10/25/2019","week1","tank3_heating_no_Red","D2",15.6827939466667,2.19089023002066,"tank3","heating","no","Red",0.784307958956923,2.75256418442328,2,0.693147180559945
"10/25/2019","week1","tank2_control_yes_Red","D2",16.6612144066667,1.14017542509914,"tank2","control","yes","Red",0.131182132233746,2.81308352763951,2,0.693147180559945
"10/25/2019","week1","tank2_control_no_Red","D2",16.83428366,2.28035085019828,"tank2","control","no","Red",0.824329312793691,2.82341750106918,2,0.693147180559945
"10/25/2019","week1","tank1_control_no_Red","D2",16.1835317133333,1.67332005306815,"tank1","control","no","Red",0.514809708590579,2.78399416428451,2,0.693147180559945
"10/26/2019","week1","tank3_heating_yes_Red","D3",15.94827614,1.30384048104053,"tank3","heating","yes","Red",0.265314125531085,2.76935074439303,3,1.09861228866811
"10/26/2019","week1","tank2_control_no_Red","D3",17.26819847,1.78885438199983,"tank2","control","no","Red",0.58157540490284,2.8488665711412,3,1.09861228866811
"10/26/2019","week1","tank1_control_no_Red","D3",16.25071336,1.14017542509914,"tank1","control","no","Red",0.131182132233746,2.78813680688913,3,1.09861228866811
"10/27/2019","week1","tank4_heating_yes_Red","D4",15.9613140466667,1.09544511501033,"tank4","heating","yes","Red",0.0911607783969774,2.77016792238347,4,1.38629436111989
"10/27/2019","week1","tank4_heating_no_Red","D4",16.21725353,1.14017542509914,"tank4","heating","no","Red",0.131182132233746,2.78607570820941,4,1.38629436111989
"10/27/2019","week1","tank2_control_yes_Red","D4",16.66121441,1.22474487139159,"tank2","control","yes","Red",0.202732554054082,2.81308352783958,4,1.38629436111989
"10/28/2019","week1","tank3_heating_no_Red","D5",15.8428858833333,1.6431676725155,"tank3","heating","no","Red",0.496625886505142,2.76272055939615,5,1.6094379124341
"10/28/2019","week1","tank1_control_yes_Red","D5",16.7196670866667,1.30384048104053,"tank1","control","yes","Red",0.265314125531085,2.8165856963738,5,1.6094379124341
"10/24/2019","week1","tank4_heating_yes_Yellow","D1",15.87438614,1.67332005306815,"tank4","heating","yes","Yellow",0.514809708590579,2.76470687568466,1,0
