DateTime,Temp
8/7/2020 17:00,22.69
8/7/2020 17:15,22.31
8/7/2020 17:30,22.09
8/7/2020 17:45,21.96
8/7/2020 18:00,22.05
8/7/2020 18:15,22.09
8/7/2020 18:30,22.31
8/7/2020 18:45,22.48
8/7/2020 19:00,22.69
8/7/2020 19:15,22.91
8/7/2020 19:30,23.16
8/7/2020 19:45,23.38
8/7/2020 20:00,23.59
8/7/2020 20:15,23.55
8/7/2020 20:30,26.85
8/7/2020 20:45,27.07
8/7/2020 21:00,24.49
8/7/2020 21:15,22.65
8/7/2020 21:30,22.35
8/7/2020 21:45,22.48
8/7/2020 22:00,21.88
8/7/2020 22:15,21.7
8/7/2020 22:30,21.49
8/7/2020 22:45,21.4
8/7/2020 23:00,21.45
8/7/2020 23:15,21.32
8/7/2020 23:30,21.15
8/7/2020 23:45,21.06
8/8/2020 0:00,20.76
8/8/2020 0:15,20.72
8/8/2020 0:30,20.85
8/8/2020 0:45,21.06
8/8/2020 1:00,20.98
8/8/2020 1:15,20.5
8/8/2020 1:30,20.68
8/8/2020 1:45,20.55
8/8/2020 2:00,20.37
8/8/2020 2:15,20.33
8/8/2020 2:30,20.33
8/8/2020 2:45,20.03
8/8/2020 3:00,19.65
8/8/2020 3:15,19.47
8/8/2020 3:30,19.17
8/8/2020 3:45,19
8/8/2020 4:00,19
8/8/2020 4:15,19.17
8/8/2020 4:30,19.65
8/8/2020 4:45,21.15
8/8/2020 5:00,21.19
8/8/2020 5:15,21.15
8/8/2020 5:30,21.28
8/8/2020 5:45,21.19
8/8/2020 6:00,21.23
8/8/2020 6:15,21.28
8/8/2020 6:30,21.32
8/8/2020 6:45,21.28
8/8/2020 7:00,21.28
8/8/2020 7:15,21.23
8/8/2020 7:30,21.23
8/8/2020 7:45,21.23
8/8/2020 8:00,21.19
8/8/2020 8:15,21.15
8/8/2020 8:30,21.28
8/8/2020 8:45,21.49
8/8/2020 9:00,23.08
8/8/2020 9:15,24.02
8/8/2020 9:30,25.05
8/8/2020 9:45,25.61
8/8/2020 10:00,25.91
8/8/2020 10:15,26.55
8/8/2020 10:30,27.67
8/8/2020 10:45,28.35
8/8/2020 11:00,28.61
8/8/2020 11:15,29.64
8/8/2020 11:30,29.17
8/8/2020 11:45,29.94
8/8/2020 12:00,30.41
8/8/2020 12:15,31.53
8/8/2020 12:30,31.74
8/8/2020 12:45,31.79
8/8/2020 13:00,32.3
8/8/2020 13:15,33.03
8/8/2020 13:30,33.2
8/8/2020 13:45,33.59
8/8/2020 14:00,33.97
8/8/2020 14:15,34.27
8/8/2020 14:30,34.36
8/8/2020 14:45,34.49
8/8/2020 15:00,34.66
8/8/2020 15:15,35
8/8/2020 15:30,35.65
8/8/2020 15:45,36.59
8/8/2020 16:00,38.18
8/8/2020 16:15,39.29
8/8/2020 16:30,39.59
8/8/2020 16:45,29.26
8/8/2020 17:00,22.86
8/8/2020 17:15,22.95
8/8/2020 17:30,22.73
8/8/2020 17:45,22.52
8/8/2020 18:00,22.39
8/8/2020 18:15,22.22
8/8/2020 18:30,22.31
8/8/2020 18:45,22.35
8/8/2020 19:00,22.31
8/8/2020 19:15,22.35
8/8/2020 19:30,22.48
8/8/2020 19:45,22.48
8/8/2020 20:00,22.82
8/8/2020 20:15,23.08
8/8/2020 20:30,23.51
8/8/2020 20:45,23.34
8/8/2020 21:00,22.82
8/8/2020 21:15,22.43
8/8/2020 21:30,22.69
8/8/2020 21:45,22.61
8/8/2020 22:00,22.65
8/8/2020 22:15,22.48
8/8/2020 22:30,22.43
8/8/2020 22:45,22.39
8/8/2020 23:00,22.31
8/8/2020 23:15,22.56
8/8/2020 23:30,22.61
8/8/2020 23:45,22.43
8/9/2020 0:00,22.26
8/9/2020 0:15,22.18
8/9/2020 0:30,22.01
8/9/2020 0:45,21.96
8/9/2020 1:00,22.09
8/9/2020 1:15,22.05
8/9/2020 1:30,21.58
8/9/2020 1:45,21.32
8/9/2020 2:00,21.23
8/9/2020 2:15,21.15
8/9/2020 2:30,20.89
8/9/2020 2:45,21.02
8/9/2020 3:00,21.1
8/9/2020 3:15,21.19
8/9/2020 3:30,20.8
8/9/2020 3:45,20.76
8/9/2020 4:00,20.76
8/9/2020 4:15,20.72
8/9/2020 4:30,20.68
8/9/2020 4:45,20.63
8/9/2020 5:00,20.72
8/9/2020 5:15,21.45
8/9/2020 5:30,21.58
8/9/2020 5:45,21.58
8/9/2020 6:00,21.49
8/9/2020 6:15,21.58
8/9/2020 6:30,21.58
8/9/2020 6:45,21.62
8/9/2020 7:00,21.53
8/9/2020 7:15,21.58
8/9/2020 7:30,21.62
8/9/2020 7:45,21.53
8/9/2020 8:00,21.58
8/9/2020 8:15,21.62
8/9/2020 8:30,21.62
8/9/2020 8:45,21.58
8/9/2020 9:00,21.58
8/9/2020 9:15,21.79
8/9/2020 9:30,23.21
8/9/2020 9:45,24.92
8/9/2020 10:00,25.57
8/9/2020 10:15,26.25
8/9/2020 10:30,26.6
8/9/2020 10:45,27.37
8/9/2020 11:00,27.97
8/9/2020 11:15,28.4
8/9/2020 11:30,28.74
8/9/2020 11:45,29.34
8/9/2020 12:00,29.98
8/9/2020 12:15,30.16
8/9/2020 12:30,30.59
8/9/2020 12:45,31.06
8/9/2020 13:00,31.44
8/9/2020 13:15,31.57
8/9/2020 13:30,31.74
8/9/2020 13:45,31.49
8/9/2020 14:00,31.87
8/9/2020 14:15,32.34
8/9/2020 14:30,32.69
8/9/2020 14:45,33.16
8/9/2020 15:00,33.29
8/9/2020 15:15,33.72
8/9/2020 15:30,34.1
8/9/2020 15:45,34.96
8/9/2020 16:00,35.73
8/9/2020 16:15,37.02
8/9/2020 16:30,37.41
8/9/2020 16:45,38.39
8/9/2020 17:00,38.69
8/9/2020 17:15,38.78
8/9/2020 17:30,26.12
8/9/2020 17:45,23.03
8/9/2020 18:00,23.08
8/9/2020 18:15,22.78
8/9/2020 18:30,22.69
8/9/2020 18:45,22.69
8/9/2020 19:00,22.65
8/9/2020 19:15,22.65
8/9/2020 19:30,22.69
8/9/2020 19:45,22.73
8/9/2020 20:00,22.91
8/9/2020 20:15,23.16
8/9/2020 20:30,23.64
8/9/2020 20:45,23.98
8/9/2020 21:00,24.02
8/9/2020 21:15,23.76
8/9/2020 21:30,23.34
8/9/2020 21:45,23.38
8/9/2020 22:00,23.42
8/9/2020 22:15,23.16
8/9/2020 22:30,23.12
8/9/2020 22:45,22.99
8/9/2020 23:00,22.99
8/9/2020 23:15,22.82
8/9/2020 23:30,22.91
8/9/2020 23:45,23.03
8/10/2020 0:00,22.78
8/10/2020 0:15,22.43
8/10/2020 0:30,22.18
8/10/2020 0:45,22.18
8/10/2020 1:00,22.09
8/10/2020 1:15,21.92
8/10/2020 1:30,21.83
8/10/2020 1:45,21.62
8/10/2020 2:00,21.58
8/10/2020 2:15,21.45
8/10/2020 2:30,21.58
8/10/2020 2:45,21.49
8/10/2020 3:00,21.49
8/10/2020 3:15,21.32
8/10/2020 3:30,21.1
8/10/2020 3:45,21.19
8/10/2020 4:00,21.1
8/10/2020 4:15,21.36
8/10/2020 4:30,21.28
8/10/2020 4:45,21.23
8/10/2020 5:00,21.23
8/10/2020 5:15,21.28
8/10/2020 5:30,21.1
8/10/2020 5:45,21.4
8/10/2020 6:00,21.92
8/10/2020 6:15,21.83
8/10/2020 6:30,21.83
8/10/2020 6:45,21.88
8/10/2020 7:00,21.92
8/10/2020 7:15,21.92
8/10/2020 7:30,21.92
8/10/2020 7:45,21.92
8/10/2020 8:00,21.96
8/10/2020 8:15,21.92
8/10/2020 8:30,21.96
8/10/2020 8:45,22.01
8/10/2020 9:00,22.09
8/10/2020 9:15,22.13
8/10/2020 9:30,22.26
8/10/2020 9:45,22.73
8/10/2020 10:00,24.84
8/10/2020 10:15,25.57
8/10/2020 10:30,25.52
8/10/2020 10:45,26.55
8/10/2020 11:00,26.42
8/10/2020 11:15,26.77
8/10/2020 11:30,27.41
8/10/2020 11:45,27.45
8/10/2020 12:00,27.8
8/10/2020 12:15,28.61
8/10/2020 12:30,29.04
8/10/2020 12:45,29.94
8/10/2020 13:00,30.46
8/10/2020 13:15,29.51
8/10/2020 13:30,29.68
8/10/2020 13:45,30.76
8/10/2020 14:00,31.57
8/10/2020 14:15,31.96
8/10/2020 14:30,32.17
8/10/2020 14:45,31.74
8/10/2020 15:00,32.39
8/10/2020 15:15,33.63
8/10/2020 15:30,34.19
8/10/2020 15:45,34.36
8/10/2020 16:00,32.56
8/10/2020 16:15,36.68
8/10/2020 16:30,37.23
8/10/2020 16:45,38.31
8/10/2020 17:00,37.84
8/10/2020 17:15,38.61
8/10/2020 17:30,38.14
8/10/2020 17:45,37.92
8/10/2020 18:00,26.25
8/10/2020 18:15,23.29
8/10/2020 18:30,23.03
8/10/2020 18:45,22.99
8/10/2020 19:00,22.91
8/10/2020 19:15,22.91
8/10/2020 19:30,22.82
8/10/2020 19:45,22.82
8/10/2020 20:00,22.78
8/10/2020 20:15,22.95
8/10/2020 20:30,23.16
8/10/2020 20:45,23.42
8/10/2020 21:00,23.64
8/10/2020 21:15,23.89
8/10/2020 21:30,23.89
8/10/2020 21:45,23.76
8/10/2020 22:00,23.08
8/10/2020 22:15,23.38
8/10/2020 22:30,23.16
8/10/2020 22:45,22.99
8/10/2020 23:00,22.99
8/10/2020 23:15,22.95
8/10/2020 23:30,22.82
8/10/2020 23:45,22.86
8/11/2020 0:00,22.82
8/11/2020 0:15,22.73
8/11/2020 0:30,22.65
8/11/2020 0:45,22.61
8/11/2020 1:00,22.56
8/11/2020 1:15,22.52
8/11/2020 1:30,22.39
8/11/2020 1:45,22.39
8/11/2020 2:00,22.43
8/11/2020 2:15,22.43
8/11/2020 2:30,22.35
8/11/2020 2:45,22.31
8/11/2020 3:00,22.22
