DateTime,Temp
8/7/2020 17:00,22.31
8/7/2020 17:15,22.13
8/7/2020 17:30,22.01
8/7/2020 17:45,21.88
8/7/2020 18:00,22.01
8/7/2020 18:15,22.05
8/7/2020 18:30,22.31
8/7/2020 18:45,22.61
8/7/2020 19:00,22.86
8/7/2020 19:15,22.95
8/7/2020 19:30,23.34
8/7/2020 19:45,23.51
8/7/2020 20:00,23.46
8/7/2020 20:15,23.38
8/7/2020 20:30,24.84
8/7/2020 20:45,23.64
8/7/2020 21:00,22.95
8/7/2020 21:15,22.48
8/7/2020 21:30,22.35
8/7/2020 21:45,22.43
8/7/2020 22:00,21.79
8/7/2020 22:15,21.58
8/7/2020 22:30,21.4
8/7/2020 22:45,21.28
8/7/2020 23:00,21.23
8/7/2020 23:15,21.28
8/7/2020 23:30,21.02
8/7/2020 23:45,20.93
8/8/2020 0:00,20.72
8/8/2020 0:15,20.63
8/8/2020 0:30,20.72
8/8/2020 0:45,20.85
8/8/2020 1:00,20.8
8/8/2020 1:15,20.5
8/8/2020 1:30,20.5
8/8/2020 1:45,20.5
8/8/2020 2:00,20.37
8/8/2020 2:15,20.33
8/8/2020 2:30,20.33
8/8/2020 2:45,20.07
8/8/2020 3:00,19.73
8/8/2020 3:15,19.56
8/8/2020 3:30,19.13
8/8/2020 3:45,19.13
8/8/2020 4:00,19.17
8/8/2020 4:15,19.3
8/8/2020 4:30,19.3
8/8/2020 4:45,21.1
8/8/2020 5:00,21.06
8/8/2020 5:15,21.06
8/8/2020 5:30,21.19
8/8/2020 5:45,21.19
8/8/2020 6:00,21.23
8/8/2020 6:15,21.19
8/8/2020 6:30,21.28
8/8/2020 6:45,21.19
8/8/2020 7:00,21.19
8/8/2020 7:15,21.15
8/8/2020 7:30,21.15
8/8/2020 7:45,21.15
8/8/2020 8:00,21.15
8/8/2020 8:15,21.1
8/8/2020 8:30,21.19
8/8/2020 8:45,21.49
8/8/2020 9:00,24.06
8/8/2020 9:15,24.71
8/8/2020 9:30,25.48
8/8/2020 9:45,26.04
8/8/2020 10:00,26.47
8/8/2020 10:15,26.77
8/8/2020 10:30,27.45
8/8/2020 10:45,27.93
8/8/2020 11:00,28.27
8/8/2020 11:15,29.13
8/8/2020 11:30,28.78
8/8/2020 11:45,29.34
8/8/2020 12:00,29.98
8/8/2020 12:15,30.89
8/8/2020 12:30,31.27
8/8/2020 12:45,31.31
8/8/2020 13:00,32
8/8/2020 13:15,32.56
8/8/2020 13:30,32.94
8/8/2020 13:45,33.25
8/8/2020 14:00,33.72
8/8/2020 14:15,34.06
8/8/2020 14:30,34.27
8/8/2020 14:45,34.32
8/8/2020 15:00,34.23
8/8/2020 15:15,34.23
8/8/2020 15:30,34.53
8/8/2020 15:45,34.32
8/8/2020 16:00,34.1
8/8/2020 16:15,34.1
8/8/2020 16:30,33.76
8/8/2020 16:45,29.34
8/8/2020 17:00,22.82
8/8/2020 17:15,22.31
8/8/2020 17:30,22.31
8/8/2020 17:45,22.31
8/8/2020 18:00,22.61
8/8/2020 18:15,22.18
8/8/2020 18:30,22.26
8/8/2020 18:45,22.31
8/8/2020 19:00,22.31
8/8/2020 19:15,22.31
8/8/2020 19:30,22.43
8/8/2020 19:45,22.69
8/8/2020 20:00,22.82
8/8/2020 20:15,23.34
8/8/2020 20:30,23.42
8/8/2020 20:45,23.12
8/8/2020 21:00,22.61
8/8/2020 21:15,22.18
8/8/2020 21:30,22.35
8/8/2020 21:45,22.43
8/8/2020 22:00,22.48
8/8/2020 22:15,22.35
8/8/2020 22:30,22.35
8/8/2020 22:45,22.31
8/8/2020 23:00,22.22
8/8/2020 23:15,22.31
8/8/2020 23:30,22.48
8/8/2020 23:45,22.35
8/9/2020 0:00,22.22
8/9/2020 0:15,22.13
8/9/2020 0:30,22.01
8/9/2020 0:45,21.83
8/9/2020 1:00,21.83
8/9/2020 1:15,21.79
8/9/2020 1:30,21.62
8/9/2020 1:45,21.49
8/9/2020 2:00,21.28
8/9/2020 2:15,21.1
8/9/2020 2:30,20.93
8/9/2020 2:45,21.02
8/9/2020 3:00,21.1
8/9/2020 3:15,21.19
8/9/2020 3:30,20.89
8/9/2020 3:45,20.76
8/9/2020 4:00,20.72
8/9/2020 4:15,20.8
8/9/2020 4:30,20.72
8/9/2020 4:45,20.68
8/9/2020 5:00,20.8
8/9/2020 5:15,21.36
8/9/2020 5:30,21.53
8/9/2020 5:45,21.53
8/9/2020 6:00,21.58
8/9/2020 6:15,21.53
8/9/2020 6:30,21.53
8/9/2020 6:45,21.58
8/9/2020 7:00,21.53
8/9/2020 7:15,21.58
8/9/2020 7:30,21.58
8/9/2020 7:45,21.53
8/9/2020 8:00,21.49
8/9/2020 8:15,21.58
8/9/2020 8:30,21.53
8/9/2020 8:45,21.49
8/9/2020 9:00,21.58
8/9/2020 9:15,21.88
8/9/2020 9:30,23.51
8/9/2020 9:45,25.14
8/9/2020 10:00,26.04
8/9/2020 10:15,26.72
8/9/2020 10:30,27.02
8/9/2020 10:45,27.54
8/9/2020 11:00,27.88
8/9/2020 11:15,28.31
8/9/2020 11:30,28.65
8/9/2020 11:45,29.17
8/9/2020 12:00,29.9
8/9/2020 12:15,30.24
8/9/2020 12:30,30.67
8/9/2020 12:45,30.97
8/9/2020 13:00,31.36
8/9/2020 13:15,31.53
8/9/2020 13:30,31.49
8/9/2020 13:45,31.31
8/9/2020 14:00,31.44
8/9/2020 14:15,31.96
8/9/2020 14:30,32.04
8/9/2020 14:45,32.64
8/9/2020 15:00,32.6
8/9/2020 15:15,32.82
8/9/2020 15:30,32.82
8/9/2020 15:45,32.69
8/9/2020 16:00,32.47
8/9/2020 16:15,32.73
8/9/2020 16:30,32.39
8/9/2020 16:45,32.26
8/9/2020 17:00,32.17
8/9/2020 17:15,31.66
8/9/2020 17:30,26.72
8/9/2020 17:45,22.95
8/9/2020 18:00,22.73
8/9/2020 18:15,22.65
8/9/2020 18:30,22.61
8/9/2020 18:45,22.65
8/9/2020 19:00,22.65
8/9/2020 19:15,22.61
8/9/2020 19:30,22.69
8/9/2020 19:45,22.78
8/9/2020 20:00,23.03
8/9/2020 20:15,23.25
8/9/2020 20:30,23.64
8/9/2020 20:45,24.02
8/9/2020 21:00,23.89
8/9/2020 21:15,23.72
8/9/2020 21:30,23.12
8/9/2020 21:45,23.12
8/9/2020 22:00,23.21
8/9/2020 22:15,23.03
8/9/2020 22:30,22.99
8/9/2020 22:45,22.86
8/9/2020 23:00,22.78
8/9/2020 23:15,22.69
8/9/2020 23:30,22.65
8/9/2020 23:45,22.73
8/10/2020 0:00,22.52
8/10/2020 0:15,22.35
8/10/2020 0:30,22.18
8/10/2020 0:45,22.05
8/10/2020 1:00,21.96
8/10/2020 1:15,21.88
8/10/2020 1:30,21.75
8/10/2020 1:45,21.7
8/10/2020 2:00,21.53
8/10/2020 2:15,21.49
8/10/2020 2:30,21.53
8/10/2020 2:45,21.49
8/10/2020 3:00,21.49
8/10/2020 3:15,21.36
8/10/2020 3:30,21.19
8/10/2020 3:45,21.15
8/10/2020 4:00,21.06
8/10/2020 4:15,21.32
8/10/2020 4:30,21.19
8/10/2020 4:45,21.1
8/10/2020 5:00,21.06
8/10/2020 5:15,21.15
8/10/2020 5:30,21.02
8/10/2020 5:45,21.23
8/10/2020 6:00,21.83
8/10/2020 6:15,21.79
8/10/2020 6:30,21.88
8/10/2020 6:45,21.83
8/10/2020 7:00,21.88
8/10/2020 7:15,21.88
8/10/2020 7:30,21.88
8/10/2020 7:45,21.88
8/10/2020 8:00,21.92
8/10/2020 8:15,21.96
8/10/2020 8:30,21.96
8/10/2020 8:45,21.96
8/10/2020 9:00,22.05
8/10/2020 9:15,22.05
8/10/2020 9:30,22.22
8/10/2020 9:45,22.91
8/10/2020 10:00,25.01
8/10/2020 10:15,25.69
8/10/2020 10:30,25.52
8/10/2020 10:45,26.25
8/10/2020 11:00,25.78
8/10/2020 11:15,26.25
8/10/2020 11:30,26.94
8/10/2020 11:45,26.94
8/10/2020 12:00,27.41
8/10/2020 12:15,27.84
8/10/2020 12:30,28.1
8/10/2020 12:45,28.91
8/10/2020 13:00,29.34
8/10/2020 13:15,28.65
8/10/2020 13:30,28.87
8/10/2020 13:45,30.16
8/10/2020 14:00,30.97
8/10/2020 14:15,31.96
8/10/2020 14:30,31.83
8/10/2020 14:45,31.27
8/10/2020 15:00,31.79
8/10/2020 15:15,32.52
8/10/2020 15:30,32.82
8/10/2020 15:45,32.39
8/10/2020 16:00,31.06
8/10/2020 16:15,32.43
8/10/2020 16:30,32.6
8/10/2020 16:45,32.52
8/10/2020 17:00,31.96
